DO NOT MODIFY! Scanner has some issues which are yet to be fixed. Changes will be overwritten.

name;games;email;url
ndemic;Plague Inc: Evolved; ;https://store.steampowered.com/developer/ndemic?snr=1_5_9__2000
davidszymanski;DUSK; ;https://store.steampowered.com/developer/davidszymanski?snr=1_5_9__2000
eugensystems;Wargame: Red Dragon,Wargame: Airland Battle,Wargame: European Escalation; ;https://store.steampowered.com/developer/eugensystems?snr=1_5_9__2000
radicalfishgames;CrossCode; ;https://store.steampowered.com/developer/radicalfishgames?snr=1_5_9__2000
https://store.steampowered.com/curator/33980359;Two Point Hospital; ;https://store.steampowered.com/curator/33980359?snr=1_5_9__2000
Team Wood Games;Super Auto Pets; ;https://store.steampowered.com/search/?developer=Team%20Wood%20Games&snr=1_5_9__2000
steelcrategames;Keep Talking and Nobody Explodes; ;https://store.steampowered.com/developer/steelcrategames?snr=1_5_9__2000
obsidian;Pillars of Eternity II: Deadfire,STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,Tyranny; ;https://store.steampowered.com/developer/obsidian?snr=1_5_9__2000
Pillow Castle;Superliminal; ;https://store.steampowered.com/search/?developer=Pillow%20Castle&snr=1_5_9__2000
NEOWIZ;Skul: The Hero Slayer; ;https://store.steampowered.com/developer/NEOWIZ?snr=1_5_9__2000
DevolverDigital;Enter the Gungeon,Hotline Miami 2: Wrong Number,Hotline Miami,Pikuniku,STRAFE: Gold Edition,Mother Russia Bleeds,Dropsy,NOT A HERO,OlliOlli2: Welcome to Olliwood,OlliOlli,The Swords of Ditto: Mormo's Curse,Crossing Souls; ;https://store.steampowered.com/developer/DevolverDigital?snr=1_5_9__2000
Hidden Variable Studios;Skullgirls 2nd Encore; ;https://store.steampowered.com/search/?developer=Hidden%20Variable%20Studios&snr=1_5_9__2000
Mouldy Toof Studios;The Escapists 2,The Escapists; ;https://store.steampowered.com/search/?developer=Mouldy%20Toof%20Studios&snr=1_5_9__2000
South East Games;Paint the Town Red,Probably Archery; ;https://store.steampowered.com/search/?developer=South%20East%20Games&snr=1_5_9__2000
Four Quarters;Loop Hero,Please, Don’t Touch Anything,Please, Don’t Touch Anything,Please, Don’t Touch Anything,Please, Don’t Touch Anything; ;https://store.steampowered.com/search/?developer=Four%20Quarters&snr=1_5_9__2000
https://store.steampowered.com/curator/40810914;Baldur's Gate: Enhanced Edition,Baldur's Gate II: Enhanced Edition; ;https://store.steampowered.com/curator/40810914?snr=1_5_9__2000
redbarrels;Outlast; ;https://store.steampowered.com/developer/redbarrels?snr=1_5_9__2000
DONTNOD;Life is Strange - Episode 1,Life is Strange 2; ;https://store.steampowered.com/developer/DONTNOD?snr=1_5_9__2000
larianstudios;Divinity: Original Sin - Enhanced Edition; ;https://store.steampowered.com/developer/larianstudios?snr=1_5_9__2000
https://store.steampowered.com/curator/33981437;Ravenfield; ;https://store.steampowered.com/curator/33981437?snr=1_5_9__2000
taleworlds;Mount & Blade: Warband; ;https://store.steampowered.com/developer/taleworlds?snr=1_5_9__2000
craftinglegends;Death Trash; ;https://store.steampowered.com/developer/craftinglegends?snr=1_5_9__2000
MAGES.;Corpse Party (2021); ;https://store.steampowered.com/search/?developer=MAGES.&snr=1_5_9__2000
https://store.steampowered.com/curator/33555067;Project Hospital; ;https://store.steampowered.com/curator/33555067?snr=1_5_9__2000
Games by Malcs;Melvor Idle; ;https://store.steampowered.com/search/?developer=Games%20by%20Malcs&snr=1_5_9__2000
Turning Wheel LLC;Barony; ;https://store.steampowered.com/search/?developer=Turning%20Wheel%20LLC&snr=1_5_9__2000
Gamatron AB;Songs of Syx; ;https://store.steampowered.com/search/?developer=Gamatron%20AB&snr=1_5_9__2000
Hempuli Oy;Baba Is You; ;https://store.steampowered.com/search/?developer=Hempuli%20Oy&snr=1_5_9__2000
